Time,X,Y,Z
1184392.394,-0.269,1.996,9.47
1184392.413,-0.334,1.742,8.139
1184392.432,-0.457,1.943,7.305
1184392.451,-0.813,1.197,7.844
1184392.47,-0.049,-1.045,5.628
1184392.489,-1.361,1.574,8.738
1184392.508,0.064,2.529,11.391
1184392.527,0.357,3.452,13.335
1184392.546,0.576,2.959,12.778
1184392.565,-0.128,1.454,9.366
1184392.584,-1.471,1.352,6.968
1184392.603,-1.297,1.067,8.963
1184392.622,-1.08,0.852,10.063
1184392.641,-0.402,0.614,10.256
1184392.66,0.181,0.846,9.944
1184392.679,0.71,1.325,9.744
1184392.698,0.576,1.605,10.008
1184392.716,0.387,1.771,10.853
1184392.735,-0.194,1.947,11.333
1184392.754,-0.973,1.605,11.13
1184392.773,-0.486,1.18,9.499
1184392.792,-0.011,1.157,7.153
1184392.811,-0.584,1.131,6.567
1184392.83,-1.428,1.13,7.695
1184392.849,-1.366,1.279,9.195
1184392.868,-2.044,1.402,10.24
1184392.887,1.493,2.165,8.386
1184392.906,1.721,2.838,11.267
1184392.925,2.285,2.46,12.394
1184392.944,1.183,1.433,9.803
1184392.963,2.155,1.747,8.743
1184392.982,1.189,2.21,9.828
1184393.001,0.411,2.176,10.267
1184393.02,0.423,2.499,9.817
1184393.039,-0.03,2.519,10.255
1184393.058,-0.533,1.991,10.551
1184393.077,-0.762,2.744,10.305
1184393.095,-0.411,2.214,10.475
1184393.114,0.645,2,10.562
1184393.133,0.566,1.928,11.301
1184393.152,0.927,1.496,9.48
1184393.171,1.877,2.643,9.031
1184393.19,2.458,3.407,8.833
1184393.209,2.757,3.374,7.989
1184393.228,3.574,2.587,8.365
1184393.247,3.521,1.545,9.072
1184393.266,2.598,0.954,9.218
1184393.285,3.658,0.741,6.617
1184393.304,0.456,2.922,4.015
1184393.323,-1.694,5.116,4.539
1184393.342,-1.639,0.977,8.754
1184393.361,-0.913,0.044,7.572
1184393.38,-3.084,1.837,11.398
1184393.399,-3.82,2.529,15.637
1184393.418,-3.223,3.068,14.791
1184393.437,-2.182,1.715,10.576
1184393.456,-0.721,1.652,7.23
1184393.474,0.19,0.958,7.249
1184393.493,-0.446,0.251,8.069
1184393.512,-0.261,-0.05,6.357
1184393.531,-0.06,-0.502,6.893
1184393.55,1.069,-0.864,8.071
1184393.569,3.967,-0.808,9.231
1184393.588,4.165,-0.252,12.542
1184393.607,7.033,-0.853,9.6
1184393.626,6.461,-0.277,8.041
1184393.645,2.505,-0.043,11.624
1184393.664,-1.958,1.811,9.474
1184393.683,-2.482,0.069,8.288
1184393.702,-0.921,-2.037,7.63
1184393.721,-1.681,-3.434,8.704
1184393.74,-5.414,-3.99,11.712
1184393.759,-8.139,-1.734,17.667
1184393.778,-6.137,-0.21,13.454
1184393.797,-4.937,-1.435,9.612
1184393.816,-4.028,-0.812,9.7
1184393.834,-3.325,-0.19,9.382
1184393.853,-2.956,-0.646,6.874
1184393.872,-2.297,-0.461,6.244
1184393.891,-1.615,-0.541,7.643
1184393.91,-0.934,-1.507,7.421
1184393.929,-0.788,-2.088,6.532
1184393.949,-3.53,0.599,17.654
1184393.968,-2.866,1.457,14.331
1184393.987,-3.17,-0.062,7.526
1184394.005,-2.106,-0.783,9.308
1184394.024,-1.882,-1.03,10.575
1184394.043,-2.372,-0.716,9.348
1184394.062,-0.515,-1.314,8.919
1184394.081,0.086,-2.238,9.42
1184394.1,-0.27,-2.158,9.237
1184394.119,-1.928,-1.482,10.192
1184394.138,-2.482,-1.409,10.603
1184394.157,-2.967,-1.132,8.633
1184394.176,-3.924,-1.462,9.772
1184394.195,-4.876,-1.359,10.049
1184394.214,-4.537,-1.902,10.789
1184394.233,-2.844,-1.861,9.059
1184394.251,-2.99,-1.569,8.187
1184394.271,-2.137,-1.324,9.341
1184394.29,-1.123,-0.591,8.763
1184394.31,-0.24,-1.322,9.497
1184394.328,-0.752,-1.356,10.417
1184394.347,-0.787,-0.466,10.101
1184394.366,-2.24,-0.309,10.167
1184394.384,-1.619,-0.253,9.689
1184394.403,-1.767,-0.863,10.3
1184394.422,-2.412,-0.649,10.093
1184394.441,-0.817,-0.368,10.084
1184394.46,-1.008,-0.553,10.387
1184394.479,-1.263,-0.209,10.821
1184394.498,-0.324,-1.227,10.669
1184394.517,-0.681,-0.108,9.939
1184394.536,0.239,-1.213,9.484
1184394.555,0.34,-0.722,9.279
1184394.574,0.305,-0.571,9.295
1184394.593,-0.244,-0.626,9.534
1184394.612,-0.276,-0.663,9.978
1184394.631,-0.699,-1.138,10.323
1184394.65,-2.067,-0.677,11.49
1184394.669,-2.095,-0.94,11.005
1184394.688,-0.88,-1.125,9.985
1184394.707,-1.426,-0.762,9.555
1184394.725,-1.788,-0.571,8.799
1184394.744,-0.78,-0.516,9.194
1184394.763,-0.706,-0.537,8.699
1184394.782,-1.587,-0.037,9.371
1184394.801,0.438,0.286,8.753
1184394.82,1.991,-0.675,8.196
1184394.839,1.14,-0.41,9.835
1184394.858,-0.041,-0.561,10.932
1184394.877,-1.092,-0.131,9.936
1184394.896,-0.895,0.095,9.949
1184394.915,-0.831,-0.172,10.676
1184394.934,-0.545,-0.053,8.658
1184394.953,-0.085,-0.483,8.696
1184394.972,0.754,-0.433,10.486
1184394.991,1.017,-0.585,10.192
1184395.01,0.696,-0.632,10.051
1184395.029,-0.281,-0.559,11.005
1184395.048,-0.586,-0.665,10.223
1184395.067,-0.768,-1.174,8.625
1184395.086,-0.86,-1.076,10.206
1184395.104,-0.353,-1.111,10.03
1184395.125,0.243,-1.123,10.032
1184395.142,-0.872,-0.708,9.272
1184395.161,-1.26,-0.931,10.925
1184395.18,-1.219,-1.015,11.285
1184395.199,-1.428,-0.606,9.219
1184395.218,-1.181,-0.68,10.323
1184395.237,-0.955,-0.758,9.352
1184395.256,-0.506,-1.05,6.987
1184395.275,-0.612,-0.478,8.074
1184395.294,-0.116,0.339,8.684
1184395.313,1.398,-1.708,12.229
1184395.332,0.779,-0.346,9.009
1184395.351,0.347,-0.284,9.566
1184395.37,-0.97,0.267,10.944
1184395.389,-1.494,-0.535,12.016
1184395.408,-1.294,-0.303,10.725
1184395.427,-1.153,-0.529,8.826
1184395.446,-0.689,-0.528,8.193
1184395.465,-0.19,-0.242,10.264
1184395.483,-0.566,-0.82,10.819
1184395.502,-0.829,-0.555,10.67
1184395.521,-2.034,-0.369,9.301
1184395.54,-2.816,-0.349,9.81
1184395.559,-3.271,-0.576,10.502
1184395.578,-2.9,-0.866,10.858
1184395.597,-2.378,-1.067,9.12
1184395.616,-1.379,-0.995,9.954
1184395.635,-0.612,-1.089,9.98
1184395.654,-0.581,-1.061,10.254
1184395.673,-1.339,-0.845,9.479
1184395.692,-1.183,-1.009,9.579
1184395.711,-0.673,-0.972,10.423
1184395.729,-0.239,-1.213,9.595
1184395.749,-0.184,-0.92,9.497
